KOD10;NEV
I1390;Magasvérnyomás eredetű szív- és vesebetegség, k.m.n.
I1500;Renovascularis hypertonia
I1510;Egyéb vesebetegségekhez társuló másodlagos hypertonia
I1520;Másodlagos hypertonia endocrin rendellenesség miatt
I1580;Egyéb másodlagos hypertonia
I1590;Másodlagos magasvérnyomás, k.m.n.
I2000;Instabil angina pectoris
I2010;Angina pectoris bizonyított koszorúér spasmussal
I2080;Angina pectoris egyéb formái
I2090;Angina pectoris, k.m.n.
I2100;Heveny elülső fali transmuralis szívizomelhalás
I2110;Heveny alsó fali transmuralis szívizomelhalás
I2120;Egyéb lokalizációjú heveny transmuralis szívizomelhalás
I2130;Heveny transmuralis szívizomelhalás a lokalizáció megjelölése nélkül
I2140;Heveny subendocardialis szívizomelhalás
I2190;Heveny szívizomelhalás, k.m.n.
I2200;Ismétlődő elülső fali szívizomelhalás
I2210;Ismétlődő inferior szívizomelhalás
I2280;Ismétlődő szívizomelhalás egyéb lokalizációban
I2290;Ismétlődő szívizomelhalás nem meghatározott helyen
I2300;Heveny szívizomelhalás utáni haemopericardium (egyidejű szövődmény)
I2310;Heveny szívizomelhalás utáni pitvari sövénydefektus (egyidejű szöv.)
I2320;Heveny szívizomelhalás utáni kamrai sövény defektus (egyidejű szöv.)
I2330;Hev. szívizomelhalás ut. szívrepedés haemopericard. nélkül (egy.szöv.)
I2340;Heveny szívizomelhalás utáni ínhúrruptura (egyidejű szövődmény)
I2350;Heveny szívizomelhalás utáni szemölcsizom ruptura (egyidejű szöv.)
I2360;Hev. szivizomelhalás ut. pitvar-fülcse-kamrai thrombosis (egyid.szöv.)
I2380;Heveny szívizomelhalás utáni egyéb egyidejű szövődmények
I2400;Szívkoszorúér-thrombosis, mely nem vezet szívizomelhaláshoz
I2410;Dressler-syndroma
I2480;Az ischaemiás szívbetegség egyéb formái
I2490;Heveny ischaemiás szívbetegség, k.m.n.
I2500;Atheroscleroticusként megnevezett szív- és érrendszer betegség
I2510;Atheroscleroticus szívbetegség
I2520;Régi szívizomelhalás
I2530;Szívaneurysma
I2540;Koszorúér-aneurysma
I2550;Ischaemiás cardiomyopathia
I2560;Néma szívizom-ischaemia
I2580;Idült ischaemiás szívbetegség egyéb formái
I2590;Idült ischaemiás szívbetegség, k.m.n.
I2600;Tüdőembolia heveny pulmonalis szívbetegség említésével
I2690;Tüdőembolia heveny cor pulmonale említése nélkül
I2700;Elsődleges pulmonalis hypertensio
I2710;Kyphoscolioticus szívbetegség
I2780;Egyéb meghatározott pulmonalis szívbetegség
I2790;Pulmonalis szívbetegség, k.m.n.
I2800;A tüdőerek arteriovenosus fistulája
I2810;Az arteria pulmonalis aneurysmája
I2880;A tüdőerek egyéb meghatározott betegségei
I2890;A tüdőerek egyéb betegsége, k.m.n.
I3000;Heveny aspecifikus idiopathiás pericarditis
I3010;Fertőzéses szívburokgyulladás
I3080;Heveny szívburokgyulladás egyéb formái
I3090;Heveny szívburokgyulladás, k.m.n.
I3100;Idült adhaesiv szívburokgyulladás
I3110;Idült constrictiv pericarditis
I3120;Haemopericardium, m.n.o.
I3130;Folyadék a szívburokban (nem gyulladásos)
I3180;A szívburok egyéb meghatározott betegségei
I3190;A szívburok betegsége, k.m.n.
I3200;Szívburokgyulladás máshová osztályozott bakteriális betegségekben
I3210;Szívburokgyulladás egyéb másh. o. fertőző és parazitás betegségekben
I3280;Szívburokgyulladás egyéb máshová osztályozott betegségekben
I3300;Heveny és félheveny fertőzéses szívbelhártya-gyulladás
I3390;Heveny szívbelhártya-gyulladás, k.m.n.
I3400;A kéthegyű billentyű elégtelensége
I3410;A kéthegyű billentyű prolapsusa
I3420;Mitralis (billentyű) stenosis, nem rheumás
I3480;A mitralis billentyű egyéb, nem rheumás eredetű betegségei
I3490;A mitralis billentyű nem rheumás eredetű betegsége, k.m.n.
I3500;Az aorta (billentyű) szűkülete
I3510;Az aorta (billentyű) elégtelensége
I3520;Aorta (billentyű) szűkület billentyűelégtelenséggel
I3580;Az aortabillentyű egyéb rendellenességei
I3590;Aortabillentyű rendellenesség, k.m.n.
I3600;A háromhegyű billentyű nem rheumás szűkülete
I3610;A háromhegyű billentyű nem rheumás elégtelensége
I3620;A háromhegyű billentyű nem rheumás szűkülete billentyűelégtelenséggel
I3680;A háromhegyű billentyű egyéb, nem rheumás eredetű rendellenességei
I3690;A háromhegyű billentyű nem rheumás eredetű rendellenessége, k.m.n.
I3700;A pulmonalis billentyű szűkülete
I3710;A pulmonalis billentyű elégtelensége
I3720;A pulmonalis billentyű szűkülete elégtelenséggel
I3780;A pulmonalis billentyű egyéb meghatározott rendellenességei
I3790;Pulmonalis billentyű rendellenesség, k.m.n.
I38H0;Szívbelhártya-gyulladás, billentyű nem meghatározott
I3900;A kéthegyű billentyű rendellenességei másh. oszt. betegségekben
I3910;Az aortabillentyű rendellenességei másh. oszt. betegségekben
I3920;A háromhegyű billentyű rendellenességei másh. oszt. betegségekben
I3930;A pulmonalis billentyű rendellenességei másh. oszt. betegségekben
I3940;Többszörös billentyű rendellenességek másh. oszt. betegségekben
I3980;Szívbelhártya-gyulladás, billentyű k.m.n. másh. oszt. betegségekben
I4000;Fertőzéses szívizomgyulladás
I4010;Izolált szívizomgyulladás
I4080;Egyéb heveny szívizomgyulladás
I4090;Heveny szívizomgyulladás, k.m.n.
I4100;Szívizomgyulladás máshová osztályozott bakteriális betegségekben
I4110;Szívizomgyulladás máshová osztályozott vírusos betegségekben
I4120;Szívizomgyulladás egyéb, másh. o. fertőző és parazitás betegségekben
I4180;Szívizomgyulladás egyéb máshová osztályozott betegségekben
I4200;Dilatativ cardiomyopathia
I4210;Hypertrophiás obstructiv cardiomyopathia
I4220;Egyéb hypertrophiás cardiomyopathia
I4230;Endomyocardialis (eosinophiliás) betegség
I4240;Endocardialis fibroelastosis
I4250;Egyéb restrictiv cardiomyopathia
I4260;Alkoholos cardiomyopathia
I4270;Gyógyszerek és egyéb külső tényezők okozta cardiomyopathia
I4280;Egyéb cardiomyopathiák
I4290;Cardiomyopathia, k.m.n.
I4300;Cardiomyopathia máshová oszt. fertőző és parazitás betegségekben
I4310;Cardiomyopathia anyagcsere-betegségekben
I4320;Cardiomyopathia táplálkozási betegségekben
I4380;Cardiomyopathia egyéb, máshová osztályozott betegségekben
I4400;Elsőfokú pitvar-kamrai block
I4410;Másodfokú pitvar-kamrai block
I4420;Teljes pitvar-kamrai block
I4430;Egyéb és nem meghatározott pitvar-kamrai block, k.m.n.
I4440;Bal elülső fascicularis block
I4450;Bal hátsó fascicularis block
I4460;Egyéb és nem meghatározott fascicularis block
I4470;Bal Tawara-szár-block, k.m.n.
I4500;Jobb Tawara-szár block
I4510;Egyéb és nem meghatározott jobb Tawara-szár block
I4520;Bifascicularis block
I4530;Trifascicularis block
I4540;Intraventricularis block
I4550;Egyéb meghatározott szívblock
I4560;Pre-excitatiós syndroma
I4580;Egyéb meghatározott ingervezetési zavarok
I4590;Ingervezetési zavar, k.m.n.
I4600;Szívmegállás sikeres újraélesztéssel
I4610;Hirtelen szívhalál, így meghatározva
I4690;Szívmegállás, k.m.n.
I4700;Re-entry kamrai arrhythmia
I4710;Supraventricularis tachycardia
I4720;Kamrai tachycardia
I4790;Paroxysmalis tachycardia, k.m.n.
I48H0;Pitvari fibrillatio és flutter
I4900;Kamra fibrillatio és flutter
I4910;Pitvari extrasystole
I4920;Junctionalis extrasystole
I4930;Kamrai extrasystole
I4940;Egyéb és nem meghatározott extrasystole
I4950;Sick sinus syndroma
I4980;Egyéb meghatározott szívritmuszavarok
I4990;Szívritmuszavar, k.m.n.
I5000;Pangásos szívelégtelenség
I5010;Balkamra elégtelenség
I5090;Szívelégtelenség, k.m.n.
I5100;Szerzett sövénydefektus
I5110;Ínhúrszakadás, m.n.o.
I5120;Szemölcsizom szakadás, m.n.o.
I5130;Szívüregi thrombosis, m.n.o.
I5140;Szívizomgyulladás, k.m.n.
I5150;Szívizom-elfajulás
I5160;Szív- és érrendszeri betegség, k.m.n.
I5170;Szívnagyobbodás
I5180;Egyéb rosszul meghatározott szívbetegségek
I5190;Szívbetegség, k.m.n.
I5200;Egyéb szívrendellenességek máshová oszt. bakteriális betegségekben
I5210;Egyéb szívrendell.gek egyéb másh. o. fert. és parazitás betegségekben
I5280;Egyéb szívrendellenességek egyéb máshová osztályozott betegségekben
I6000;Subarachnoidealis vérzés a carotis szifonból és bifurcatióból
I6010;Subarachnoidealis vérzés az arteria cerebri mediából
I6020;Subarachnoidealis vérzés az arteria communicans anteriorból
I6030;Subarachnoidealis vérzés az arteria communicans posteriorból
I6040;Subarachnoidealis vérzés az arteria basilarisból
I6050;Subarachnoidealis vérzés az arteria vertebralisból
I6060;Subarachnoidealis vérzés egyéb koponyaűri artériákból
I6070;Subarachnoidealis vérzés k.m.n. koponyaűri artériából
I6080;Egyéb subarachnoidealis vérzés
I6090;Subarachnoidealis vérzés, k.m.n.
I6100;Agyállományi vérzés féltekében, subcorticalis
I6110;Agyállományi vérzés féltekében, corticalis
I6120;Agyállományi vérzés féltekében, k.m.n.
I6130;Agyállományi vérzés agytörzsben
I6140;Agyállományi vérzés kisagyban
I6150;Agyállományi vérzés agykamrában
I6160;Agyállományi vérzés több lokalizációban
I6180;Agyállományi vérzés, egyéb
I6190;Agyállományi vérzés, k.m.n.
I6200;Keményburok alatti (subduralis) vérzés (heveny) (nem-traumás)
I6210;Extraduralis vérzés
I6290;Koponyaűri vérzés (nem-traumás), k.m.n.
I6300;Agyi infarctus a praecerebralis ütőerek rögösödése miatt
I6310;Agyi infarctus a praecerebralis ütőerek emboliája miatt
I6320;Agyi infarctus a praecerebralis art. k.m.n. elzáródása-szűkülete miatt
I6330;Agyi infarctus a cerebralis ütőerek rögösödése miatt
I6340;Agyi infarctus a cerebralis ütőerek emboliája miatt
I6350;Agyi infarctus a cerebralis art. k.m.n. elzáródása-szűkülete miatt
I6360;Agyi infarctus az agyi visszerek nem suppurativ rögösödése miatt
I6380;Agyi infarctus, egyéb
I6390;Agyi infarctus, k.m.n.
I64H0;Szélütés (stroke) nem vérzésnek vagy infarctusnak minősítve
I6500;Az arteria vertebralis elzáródása vagy szűkülete
I6510;Az arteria basilaris elzáródása vagy szűkülete
I6520;Az arteria carotis elzáródása vagy szűkülete
I6530;A praecerebralis art. többszörös vagy kétoldali elzáródása-szűkülete
I6580;Egyéb praecerebralis ütőerek elzáródása vagy szűkülete
I6590;Egyéb, k.m.n. praecerebralis ütőerek elzáródása és szűkülete
I6600;Az arteria cerebri media elzáródása és szűkülete
I6610;Az arteria cerebri anterior elzáródása és szűkülete
I6620;Az arteria cerebri posterior elzáródása és szűkülete
I6630;Az arteriae cerebellares elzáródása és szűkülete
I6640;Több, ill. bilaterális agyi arteria elzáródása és szűkülete
I6680;Egyéb agyi artériák elzáródása és szűkülete
I6690;Nem-meghatározott agyi arteria elzáródása és szűkülete
I6700;Agyi ütőerek nem-rupturált dissectiója
I6710;Agyi aneurysma, nem-rupturált
I6720;Agyi arteriosclerosis
I6730;Progressiv vascularis leukoencephalopathia
I6740;Hypertensiv encephalopathia
I6750;Moyamoya-betegség
I6760;A koponyaűri vénás rendszer nem suppurativ rögösödése
I6770;Agyi ütőérgyulladás, m.n.o.
I6780;Egyéb, meghatározott cerebrovascularis betegségek
I6790;Cerebrovascularis betegség, k.m.n.
I6800;Agyi amyloid érbetegség (E85.-+)
I6810;Agyi ütőérgyulladás, máshova oszt. fertőző és parazitás betegségekben
I6820;Agyi ütőérgyulladás egyéb máshova osztályozott betegségekben
I6880;Egyéb cerebrovascularis rendellenességek máshova oszt. betegségekben
I6900;Pókhálóhártya alatti vérzés következményei
I6910;Agyállományi vérzés következményei
I6920;Egyéb, nem traumás koponyaűri vérzés következményei
I6930;Agyi infarctus következményei
I6940;Stroke nem vérzésként vagy infarctusként jelölt következményei
I6980;Egyéb és k.m.n. cerebrovascularis betegségek következményei
I7000;Az aorta atherosclerosisa
I7010;A veseütőér atherosclerosisa
I7020;A végtagi ütőerek atherosclerosisa
I7080;Egyéb ütőerek atherosclerosisa
I7090;Általános és, k.m.n. atherosclerosis
I7100;Az aorta [bármely részének] dissectiója
I7110;A mellkasi aorta aneurysmája, megrepedt
I7120;A mellkasi aorta aneurysmája, repedés említése nélkül
I7130;A hasi aorta aneurysmája, megrepedt
I7140;A hasi aorta aneurysmája, repedés említése nélkül
I7150;Thoracoabdominalis aorta-aneurysma, megrepedt
I7160;Thoracoabdominalis aorta-aneurysma, repedés említése nélkül
I7180;Aorta-aneurysma, k.m.n. lokalizációjú, megrepedt
I7190;Aorta-aneurysma, k.m.n. lokalizációjú, repedés említése nélkül
I7200;Arteria carotis aneurysma
I7210;A felső végtag ütőereinek aneurysmája
I7220;Az arteria renalis aneurysmája
I7230;Az arteria iliaca aneurysmája
I7240;Az alsó végtag ütőereinek aneurysmája
I7280;Egyéb, megnevezett ütőerek aneurysmája
I7290;Nem jelölt lokalizációjú ütőér-aneurysma
I7300;Raynaud-syndroma
I7301;Raynaud-syndroma, primer
I7302;Raynaud-syndroma, secunder
I7309;Raynaud-syndroma. k.m.n.
I7310;Thromboangiitis obliterans [Buerger]
I7380;Egyéb, meghatározott perifériás érbetegségek
I7390;Perifériás érbetegség, k.m.n.
I7400;A hasi aorta emboliája és rögösödése
I7410;Az aorta egyéb és nem megjelölt részeinek emboliája és rögösödése
I7420;A felső végtag ütőereinek emboliája és rögösödése
I7430;Az alsó végtag ütőereinek emboliája és rögösödése
I7440;Végtagi ütőerek, k.m.n. emboliája és rögösödése
I7450;Az arteria iliaca emboliája és rögösödése
I7480;Egyéb ütőerek emboliája és rögösödése
I7490;K.m.n. ütőér emboliája és rögösödése
I7700;Arteriovenosus sipoly, szerzett
I7710;Ütőérszűkület
I7720;Ütőér repedés
I7730;Az ütőér fibromuscularis dysplasiája
I7740;Arteria coeliaca kompressziós syndroma
I7750;Ütőér elhalás
I7760;Arteritis, nem-meghatározott
I7780;Az artériák és arteriolák egyéb meghatározott rendellenességei
I7790;Artériák és arteriolák rendellenessége, k.m.n.
I7800;Teleangiectasia hereditaria haemorrhagica
I7810;Naevus (nem-daganatos)
I7880;A hajszálerek egyéb betegségei
I7890;A hajszálerek betegsége, k.m.n.
I7900;Aorta-aneurysma máshova osztályozott betegségekben
I7910;Aortitis máshova osztályozott betegségekben
I7920;Perifériás angiopathia máshova osztályozott betegségekben
I7980;Artériák, arteriolák, capillarisok egyéb rendell. másh. o. bet.gekben
I8000;Az alsó végtagok felületes vénáinak gyulladása és thrombophlebitise
I8010;A vena femoralis gyulladása és thrombophlebitise
I8020;Az alsó végtagok mélyvénáinak gyulladása és thrombophlebitise
I8030;Az alsó végtagok vénáinak gyulladása és thrombophlebitise, k.m.n.
I8080;Phlebitis és thrombophlebitis más helyeken
I8090;Phlebitis és thrombophlebitis, nem meghatározott lokalizációjú
I81H0;Kapuvéna thrombosis
I8200;Budd-Chiari-syndroma
I8210;Thrombophlebitis migrans
I8220;A vena cava emboliája és thrombosisa
I8230;A vesevéna emboliája és thrombosisa
I8280;Egyéb meghatározott vénák emboliája és thrombosisa
I8290;K.m.n. véna emboliája és thrombosisa
I8300;Az alsó végtagok visszértágulatai fekéllyel
I8310;Az alsó végtagok visszértágulatai gyulladással
I8320;Az alsó végtagok visszértágulata, fekéllyel és gyulladással
I8390;Az alsó végtagok visszértágulatai, fekély vagy gyulladás nélkül
I8400;Belső, rögösödött aranyerek
I8410;Belső aranyerek, egyéb szövődményekkel
I8420;Belső aranyerek, szövődmény nélkül
I8430;Külső, rögösödött aranyerek
I8440;Külső aranyerek egyéb szövődményekkel
I8450;Külső aranyerek szövődmény nélkül
I8460;Maradvány aranyeres bőrfüggelékek
I8470;Thrombotisált aranyerek, k.m.n.
I8480;K.m.n. aranyerek egyéb szövődményekkel
I8490;Aranyerek, szövődmény nélkül, k.m.n.
I8500;Nyelőcső varicositas vérzéssel
I8590;Nyelőcső varicositas vérzés nélkül
I8600;Nyelv alatti varicositas
I8610;Herezacskó varicositas
I8620;Medencei varicositas
I8630;Vulva varicositas
I8640;Gyomor varicositas
I8680;Varicositas egyéb meghatározott lokalizációban
I8700;Visszérgyulladás utáni tünetegyüttes
I8710;A visszerek kompressziója
I8720;Vénás elégtelenség (idült)(perifériás)
I8780;Egyéb meghatározott visszérbetegségek
I8790;Egyéb visszérbetegség, k.m.n.
I8800;Nem specifikus mesenterialis nyirokcsomó-gyulladás
I8810;Idült nyirokcsomó-gyulladás, kivéve a mesenterialist
I8880;Egyéb nem specifikus nyirokcsomó-gyulladás
I8890;Nem specifikus nyirokcsomó-gyulladás, k.m.n.
I8900;Lymphoedema
I8901;Lymphoedema, m.n.o.
I8902;Lymphangiectasia
I8903;Lymphoedema chronica
I8910;Nyirokérgyulladás
I8980;Nyirokerek és nyirokcsomók egyéb, meghat. nem fert. eredetű betegségei
I8990;Nyirokerek és nyirokcsomók egyéb, nem fert. rendellenessége, k.m.n.
I9500;Idiopathiás hypotensio
I9510;Orthostaticus hypotensio
I9520;Gyógyszer okozta alacsony vérnyomás
I9580;Egyéb hypotensio
I9590;Alacsony vérnyomás, k.m.n.
I9700;Postcardiotomiás syndroma
I9710;Szívműtét utáni egyéb funkcionális zavarok
I9720;Emlőeltávolítás utáni nyirokpangás-syndroma
I9780;A keringési rendszer egyéb beavatkozások utáni rendellenességei m.n.o.
I9790;A keringési rendszer beavatkozás utáni rendellenessége, k.m.n.
I9800;Szív és érrendszeri syphilis
I9810;Szív-érrendszeri rendell. másh. o. fertőző és parazitás betegségekben
I9820;Nyelőcső varicositas máshová osztályozott betegségekben
I9880;A keringési rendszer egyéb meghat. rendell. másh. o. betegségekben
I99H0;A keringési rendszer egyéb és nem-meghatározott rendellenességei
J00H0;Heveny orr-garatgyulladás [meghűlés]
J0100;Sinusitis maxillaris acuta
J0110;Sinusitis frontalis acuta
J0120;Sinusitis ethmoidalis acuta
J0130;Sinusitis sphenoidalis acuta
J0140;Heveny pansinusitis
J0180;Egyéb heveny sinusitis
J0190;Heveny sinusitis, k.m.n.
J0200;Heveny garathurut streptococcus miatt
J0280;Heveny garatgyulladás egyéb meghatározott kórokozótól
J0290;Akut garatgyulladás, nem meghatározott
J0300;Streptococcus okozta mandulagyulladás
J0380;Heveny mandulagyulladás egyéb, meghatározott kórokozótól
J0390;Heveny mandulagyulladás, k.m.n.
J0400;Heveny gégegyulladás
J0401;Heveny gégegyulladás (Laryngitis acuta)
J0402;Heveny gégegyulladás (Laryngitis subglottica)
J0410;Heveny légcsőgyulladás
J0420;Heveny laryngotracheitis
J0500;Heveny obstructiv laryngitis [croup]
J0510;Heveny epiglottitis
J0600;Heveny laryngopharyngitis
J0680;Egyéb felső légúti fertőzések több helyen
J0690;Felső légúti fertőzés, k.m.n.
J1000;Influenza tüdőgyulladással, influenzavírus identifikált
J1010;Influenza egyéb légúti tünetekkel, influenzavírus identifikált
J1080;Influenza egyéb tünetekkel, influenzavírus identifikált
J1100;Influenza tüdőgyulladással, vírus nem identifikált
J1110;Influenza egyéb légúti tünetekkel, vírus nem identifikált
J1180;Influenza egyéb tünetekkel, vírus nem identifikált
J1200;Adenovirus pneumonia
J1210;Légúti syncytialis vírus pneumonia
J1220;Parainfluenza vírus pneumonia
J1280;Egyéb vírusos pneumonia
J1290;Vírusos tüdőgyulladás, k.m.n.
J13H0;Streptococcus pneumoniae okozta tüdőgyulladás
J14H0;Haemophilus influenzae okozta tüdőgyulladás
J1500;Klebsiella pneumoniae okozta tüdőgyulladás
J1510;Pseudomonas okozta tüdőgyulladás
J1520;Staphylococcus okozta tüdőgyulladás
J1530;B-csoportú streptococcus okozta tüdőgyulladás
J1540;Egyéb streptococcus okozta tüdőgyulladás
J1550;Escherichia coli okozta tüdőgyulladás
J1560;Egyéb anaerob, Gram-negatív bacteriumok okozta tüdőgyulladás
J1570;Mycoplasma pneumoniae okozta tüdőgyulladás
J1580;Egyéb bakteriális tüdőgyulladás
J1590;Bakteriális tüdőgyulladás, k.m.n.
J1600;Chlamydia okozta pneumonia
J1680;Egyéb fertőző organizmusok okozta tüdőgyulladás
J1700;Tüdőgyulladás máshol osztályozott bakteriális betegségekben
J1710;Tüdőgyulladás máshol osztályozott vírusbetegségekben
J1720;Tüdőgyulladás gombás megbetegedésekben
J1730;Tüdőgyulladás parazitás betegségekben
J1780;Tüdőgyulladás egyéb, máshova osztályozott betegségekben
J1800;Bronchopneumonia, k.m.n.
J1810;Lobaris tüdőgyulladás, k.m.n.
J1820;Hypostaticus pneumonia, k.m.n.
J1880;Egyéb tüdőgyulladás, kórokozó, k.m.n.
J1890;Tüdőgyulladás, k.m.n.
J2000;Heveny bronchitis Mycoplasma pneumoniaetól
J2010;Heveny bronchitis Haemophilus influenzaetól
J2020;Heveny bronchitis streptococcustól
J2030;Heveny bronchitis coxsackie- vírustól
J2040;Heveny bronchitis parainfluenza- vírustól
J2050;Heveny bronchitis légúti syncytialis vírustól
J2060;Heveny bronchitis rhinovirustól
J2070;Heveny bronchitis echovirustól
J2080;Heveny bronchitis egyéb meghatározott kórokozótól
J2090;Heveny bronchitis, k.m.n.
J2100;Heveny bronchiolitis légúti syncytialis vírustól
J2180;Heveny bronchiolitis egyéb meghatározott kórokozóktól
J2190;Heveny bronchiolitis, k.m.n.
J22H0;Nem meghatározott alsó légúti fertőzés
J3000;Vasomotor rhinitis
J3010;Allergiás rhinitis pollentől
J3020;Egyéb szezonális allergiás rhinitis
J3030;Egyéb allergiás rhinitis
J3040;Allergiás rhinitis, k.m.n.
J3100;Idült rhinitis
J3110;Idült nasopharyngitis
J3120;Idült pharyngitis
J3200;Idült sinusitis maxillaris
J3210;Idült sinusitis frontális
J3220;Idült sinusitis ethmoidalis
J3230;Idült sinusitis sphenoidalis
J3240;Idült pansinusitis
J3280;Egyéb idült sinusitis
J3290;Idült sinusitis, k.m.n.
J3300;Orrüreg-polypus
J3310;Polypoid sinus degeneratio
J3380;Egyéb melléküreg polypus
J3390;Orrpolypus, k.m.n.
J3400;Az orr tályogja, furunculusa és carbunculusa
J3410;Orrüregek cystája és mucoceléje
J3420;Orrsövény-elferdülés
J3430;Orrkagylók túltengése
J3480;Az orr és orr-üregek egyéb meghatározott rendellenességei
J3500;Idült garatmandula-gyulladás
J3510;A garatmandulák túltengése
J3520;Az orrmandulák túltengése
J3530;Az orr- és garatmandulák együttes túltengése
J3580;Az orr- és garatmandulák egyéb idült betegségei
J3590;Az orr- és garatmandulák nem meghatározott idült betegségei
J36H0;Mandula körüli tályog
J3700;Idült laryngitis
J3710;Idült laryngotracheitis
J3800;Hangszalag- és gége-bénulás
J3810;A hangszalag és gége polypusa
J3820;A hangszalagok csomói
J3830;A hangszalagok egyéb betegségei
J3840;Gégevizenyő
J3850;Gégegörcs
J3860;Gégeszűkület
J3870;A gége egyéb betegségei
J3900;Retropharyngealis és parapharyngealis tályog
J3910;A garat egyéb tályogja
J3920;A garat egyéb betegségei
J3930;A felső légútak k.m.n. lokalizációjú túlérzékenységi reakciója
J3980;A felső légutak egyéb meghatározott betegségei
J3990;A felső légutak betegségei, k.m.n.
J40H0;Bronchitis, nem hevenynek vagy idültnek meghatározva
J4100;Egyszerű idült bronchitis
J4110;Mucopurulens idült bronchitis
J4180;Kevert egyszerű és mucopurulens idült bronchitis
J42H0;Nem meghatározott idült bronchitis
J4300;MacLeod-syndroma
J4310;Panlobaris emphysema
J4320;Centrilobularis emphysema
J4380;Egyéb emphysema
J4390;Emphysema, k.m.n.
J4400;Idült obstructiv tüdőbetegség heveny alsó légúti fertőzéssel
J4410;Idült obstructiv tüdőbetegség heveny fellángolással, k.m.n.
J4480;Egyéb meghatározott idült obstructiv tüdőbetegség
J4490;Idült obstructiv tüdőbetegség, k.m.n.
J4500;Főként allergiás asthma
J4510;Nem-allergiás asthma
J4580;Kevert asthma
J4590;Asthma, k.m.n.
J46H0;Status asthmaticus
J47H0;Bronchiectasia
J60H0;Szénbányászok pneumoconiosisa
J61H0;Asbest és egyéb ásványi rostok okozta pneumoconiosis
J6200;Pneumoconiosis talcum(por)-tól
J6280;Pneumoconiosis kvarctartalmú egyéb poroktól
J6300;Aluminosis (tüdő-)
J6310;Bauxit-fibrosis (tüdő-)
J6320;Berylliosis
J6330;Grafit-fibrosis (tüdő)
J6340;Siderosis
J6350;Stannosis
J6380;Egyéb meghatározott szervetlen por okozta pneumoconiosis
J64H0;Nem-meghatározott pneumoconiosis
J6500;Gümőkórral társult pneumoconiosis
J6510;Szénbányászok pneumoconiosisa, aktív tüdőgümőkórral együtt
J6520;Azbeszt és ásványok okozta pneumoconiosis, aktív tüdőgümőkórral együtt
J6530;Silicotuberculosis
J6540;Nem meghatározott pneumoconiosis, aktív gümőkórral együtt
J6600;Byssinosis
J6610;Lenmunkás betegség
J6620;Cannabinosis (indiai kender okozta légúti betegség)
J6680;Légúti betegség egyéb meghatározott szerves portól
J6700;Farmer-tüdő
J6710;Bagassosis
J6720;Madárkedvelők tüdőbetegsége
J6730;Suberosis
J6740;Malátacsíráztató tüdő
J6750;Gombatenyésztők tüdőbetegsége
J6760;Juharfa-munkás tüdő
J6770;Légkondicionáló és légnedvesítő okozta tüdőbetegség
J6780;Túlérzékenységi pneumonitis egyéb szerves poroktól
J6790;Túlérzékenységi pneumonitis nem meghatározott szerves portól
J6800;Bronchitis és pneumonitis vegyszertől, gáztól, füsttől, és gőztől
J6810;Heveny tüdővizenyő vegyszerektől, gázoktól, füstöktől és gőzöktől
J6820;Felső légúti gyulladás vegyszertől, gáztól, füsttől és gőztől, m.n.o.
J6830;Egyéb akut-subacut légzősz. áll. vegyszertől, gáztól, füsttől, gőztől
J6840;Idült légzőszervi állapot vegyszertől, gáztól, füsttől és gőztől
J6880;Egyéb légzőszervi állapot vegyszertől, gáztól, füsttől és gőztől
J6890;Légzőszervi állapot vegyszertől, gáztól, füsttől és gőztől, k.m.n.
J6900;Pneumonitis ételtől és hányadéktól
J6910;Pneumonitis olajoktól és kivonatoktól
J6980;Pneumonitis egyéb szilárd és folyékony anyagtól
J7000;Sugárzás okozta heveny pulmonalis tünetek
J7010;Sugárzás okozta idült és egyéb pulmonalis tünetek
J7020;Gyógyszer kiváltotta heveny interstitialis tüdőrendellenességek
J7030;Gyógyszer kiváltotta idült interstitialis tüdőrendellenességek
J7040;Gyógyszer kiváltotta interstitialis tüdő-rendellenesség, k.m.n.
J7080;Egyéb, megnevezett külső ágensek okozta légzőszervi állapotok
J7090;Külső ágensek okozta légzőszervi állapot, k.m.n.
J80H0;Felnőttkori légzési distress syndroma
J81H0;Tüdővizenyő
J82H0;Pulmonalis eosinophilia, m.n.o.
J8400;Alveolaris és parietoalveolaris állapotok
J8401;Alveolaris proteinosis
J8409;Alveolaris és parietoalveolaris állapotok k.m.n.
J8410;Egyéb interstitialis tüdőbetegségek fibrosissal
J8411;Idiopathiás tüdőfibrosis
J8412;Alveolitis fibrotisans
J8413;Hamman-Rich syndroma
J8419;Egyéb interstitialis tüdőbetegségek fibriosissal k.m.n.
J8480;Egyéb meghatározott interstitialis tüdőbetegségek
J8490;Interstitialis tüdőbetegség, k.m.n.
J8500;Tüdő gangraena és necrosis
J8510;Tüdőtályog pneumoniával
J8520;Tüdőtályog pneumonia nélkül
J8530;Mediastinalis tályog
J8600;Pyothorax sipollyal
J8610;Pyothorax acuta
J8620;Pyothorax chronica
J8690;Pyothorax sipoly nélküli
J90H0;Mellüregi folyadékképződés, m.n.o.
J91H0;Mellüregi folyadékképződés máshol osztályozott állapotokban
J9200;Pleuralis callus asbest jelenlétével
J9290;Pleuralis callus asbest nélkül
J9300;Spontán feszülő pneumothorax
J9310;Egyéb spontán pneumothorax
J9380;Egyéb pneumothorax
J9390;Pneumothorax, k.m.n.
